iter	Passed	Remaining
0	1	1819
1	2	1076
2	2	845
3	2	725
4	3	645
5	3	588
6	3	563
7	4	530
8	4	512
9	4	493
10	5	477
11	5	465
12	5	450
13	6	443
14	6	436
15	7	431
16	7	422
17	7	413
18	7	404
19	8	400
20	8	394
21	8	388
22	8	382
23	9	376
24	9	370
25	9	364
26	10	360
27	10	356
28	10	352
29	10	348
30	11	346
31	11	342
32	11	338
33	11	335
34	12	332
35	12	330
36	12	327
37	12	325
38	13	323
39	13	321
40	13	319
41	13	317
42	14	315
43	14	313
44	14	312
45	15	311
46	15	310
47	15	308
48	15	308
49	16	308
50	16	308
51	16	306
52	17	305
53	17	304
54	17	303
55	17	302
56	18	301
57	18	299
58	18	298
59	18	297
60	19	296
61	19	295
62	19	294
63	20	294
64	20	293
65	20	292
66	21	293
67	21	293
68	21	293
69	22	292
70	22	293
71	22	293
72	23	294
73	23	294
74	23	293
75	24	292
76	24	292
77	24	292
78	25	292
79	25	291
80	25	290
81	25	290
82	26	287
83	26	288
84	26	288
85	27	288
86	27	289
87	27	288
88	28	287
89	28	287
90	28	287
91	29	286
92	29	286
93	29	287
94	30	286
95	30	287
96	30	286
97	31	287
98	31	286
99	31	285
100	31	284
101	32	284
102	32	283
103	32	283
104	33	283
105	33	283
106	34	283
107	34	283
108	34	283
109	35	283
110	35	283
111	35	283
112	36	283
113	36	282
114	36	282
115	36	281
116	37	280
117	37	279
118	37	280
119	38	280
120	38	279
121	38	278
122	38	277
123	39	277
124	39	276
125	39	276
126	40	275
127	40	274
128	40	274
129	40	274
130	41	274
131	41	275
132	42	274
133	42	274
134	42	274
135	43	273
136	43	273
137	43	273
138	44	272
139	44	272
140	44	272
141	44	271
142	45	270
143	45	270
144	45	270
145	46	270
146	46	270
147	46	269
148	47	269
149	47	269
150	47	269
151	48	268
152	48	268
153	48	268
154	49	268
155	49	267
156	49	267
157	50	268
158	50	268
159	50	267
160	51	266
161	51	265
162	51	265
163	51	264
164	52	264
165	52	264
166	52	264
167	53	263
168	53	263
169	53	263
170	54	262
171	54	262
172	54	262
173	55	262
174	55	262
175	56	262
176	56	262
177	56	262
178	57	262
179	57	261
180	57	261
181	58	261
182	59	263
183	59	263
184	59	263
185	60	262
186	60	262
187	60	261
188	60	261
189	61	261
190	61	260
191	61	260
192	62	260
193	62	260
194	63	260
195	63	260
196	63	259
197	64	259
198	64	259
199	64	258
200	65	258
201	65	258
202	65	257
203	66	257
204	66	257
205	66	257
206	67	257
207	67	256
208	67	256
209	68	256
210	68	256
211	68	256
212	69	255
213	69	255
214	70	255
215	70	255
216	70	255
217	71	255
218	71	254
219	71	254
220	72	254
221	72	254
222	72	254
223	73	253
224	73	253
225	73	253
226	74	252
227	74	252
228	74	252
229	75	251
230	75	251
231	75	250
232	76	250
233	76	250
234	76	250
235	77	249
236	77	249
237	77	249
238	78	248
239	78	248
240	78	248
241	79	247
242	79	247
243	79	246
244	80	246
245	80	246
246	80	246
247	81	245
248	81	245
249	81	244
250	81	244
251	82	244
252	82	243
253	82	243
254	83	243
255	83	243
256	83	242
257	84	242
258	84	242
259	85	242
260	85	241
261	85	241
262	85	240
263	86	240
264	86	240
265	87	240
266	87	240
267	87	239
268	88	239
269	88	239
270	88	238
271	89	238
272	89	238
273	89	237
274	90	237
275	90	236
276	90	236
277	91	236
278	91	236
279	91	235
280	92	235
281	92	235
282	92	234
283	92	234
284	93	234
285	93	233
286	93	233
287	94	233
288	94	233
289	95	233
290	95	232
291	95	232
292	96	232
293	96	231
294	96	231
295	97	231
296	97	231
297	98	231
298	98	230
299	98	230
300	99	230
301	99	229
302	99	229
303	100	229
304	100	228
305	100	228
306	101	228
307	101	227
308	101	227
309	102	227
310	102	226
311	102	226
312	102	225
313	103	225
314	103	225
315	104	225
316	104	224
317	104	224
318	104	223
319	105	223
320	105	223
321	105	222
322	106	222
323	106	222
324	106	221
325	107	221
326	107	221
327	107	221
328	108	220
329	108	220
330	108	220
331	109	219
332	109	219
333	109	218
334	110	218
335	110	218
336	110	218
337	111	217
338	111	217
339	111	217
340	112	216
341	112	216
342	112	216
343	113	215
344	113	215
345	113	215
346	114	214
347	114	214
348	114	214
349	115	213
350	115	213
351	115	213
352	116	212
353	116	212
354	116	211
355	116	211
356	117	211
357	117	210
358	117	210
359	117	209
360	118	209
361	118	209
362	118	208
363	119	208
364	119	207
365	119	207
366	120	207
367	120	207
368	120	206
369	121	206
370	121	206
371	121	205
372	122	205
373	122	205
374	122	204
375	123	204
376	123	204
377	123	203
378	124	203
379	124	202
380	124	202
381	124	201
382	125	201
383	125	200
384	125	200
